gene_name_1,gene_name_2,co_occurrence
ced-13,ced-3,1
ced-13,ced-1,1
ced-13,ppw-1,1
ced-13,dlc-1,8
ced-13,ced-9,2
ced-13,gla-3,1
ced-13,lin-35,3
ced-13,egl-1,12
ced-13,pch-2,1
ced-13,kri-1,1
ced-13,ced-5,1
ced-13,cep-1,2
ced-13,ced-6,1
ced-3,ced-1,2
ced-3,ced-4,2
ced-3,ppw-1,1
ced-3,dlc-1,4
ced-3,ced-9,2
ced-3,gla-3,1
ced-3,lin-35,1
ced-3,egl-1,1
ced-3,pch-2,1
ced-3,kri-1,1
ced-3,ced-5,1
ced-3,cep-1,1
ced-3,ced-6,1
ced-1,ppw-1,3
ced-1,ced-9,1
ced-1,gla-3,2
ced-1,lin-35,1
ced-1,egl-1,1
ced-1,pch-2,2
ced-1,kri-1,1
ced-1,ced-5,1
ced-1,cep-1,2
ced-1,ced-6,2
ced-4,ced-9,1
ppw-1,dlc-1,3
ppw-1,ced-9,1
ppw-1,gla-3,1
ppw-1,lin-35,1
ppw-1,egl-1,1
ppw-1,pch-2,1
ppw-1,kri-1,1
ppw-1,ced-5,1
ppw-1,cep-1,1
ppw-1,ced-6,1
dlc-1,ced-9,5
dlc-1,gla-3,2
dlc-1,lin-35,4
dlc-1,egl-1,8
dlc-1,pch-2,2
dlc-1,kri-1,5
dlc-1,ced-5,3
dlc-1,cep-1,4
dlc-1,ced-6,3
ced-9,gla-3,1
ced-9,lin-35,3
ced-9,egl-1,2
ced-9,pch-2,1
ced-9,kri-1,1
ced-9,ced-5,1
ced-9,cep-1,1
ced-9,ced-6,1
gla-3,lin-35,2
gla-3,egl-1,1
gla-3,pch-2,2
gla-3,kri-1,1
gla-3,ced-5,1
gla-3,cep-1,2
gla-3,ced-6,1
lin-35,egl-1,3
lin-35,pch-2,1
lin-35,kri-1,1
lin-35,ced-5,1
lin-35,cep-1,2
lin-35,ced-6,1
egl-1,pch-2,1
egl-1,kri-1,1
egl-1,ced-5,1
egl-1,cep-1,3
egl-1,ced-6,1
pch-2,kri-1,1
pch-2,ced-5,1
pch-2,cep-1,2
pch-2,ced-6,1
ced-12,ced-5,1
kri-1,ced-5,1
kri-1,cep-1,2
kri-1,ced-6,1
ced-5,cep-1,1
ced-5,ced-6,7
cep-1,ced-6,1
