gene_name_1,gene_name_2,co_occurrence
17q,tumor,1
using,models,2
using,brain,2
using,glioma,3
using,tumor,1
using,mouse,2
using,testing,1
using,preclinical,1
10-12,5-10,1
10-12,glioma,1
10-12,tumor,1
5-10,glioma,1
studies,models,1
studies,glioma,2
studies,tumor,1
studies,testing,1
studies,preclinical,6
10-20,tumor,1
models,brain,11
models,glioma,4
models,tumor,6
models,mouse,7
models,testing,4
models,preclinical,5
brain,glioma,4
brain,tumor,11
brain,mouse,5
brain,testing,3
brain,preclinical,3
pten,glioma,1
pten,mouse,1
pten,preclinical,1
glioma,tumor,7
glioma,mouse,5
glioma,testing,2
glioma,preclinical,6
tumor,mouse,2
tumor,testing,2
tumor,preclinical,1
2-7,n-myc,1
2-7,1-3,1
2-7,2-4,1
c-myc,n-myc,2
n-myc,1-3,1
n-myc,2-4,1
ras,mouse,1
mouse,testing,1
mouse,preclinical,2
testing,preclinical,11
1-3,2-4,1
