gene_name_1,gene_name_2,co_occurrence
number,region,1
number,variants,2
number,gene,1
number,suicide,4
number,genomic,2
number,sample,1
region,variants,5
region,intron,1
region,stop,1
region,gene,3
region,suicide,6
region,genomic,2
region,sample,1
region,splice,3
region,bed,1
region,exonic,1
variants,1/71,1
variants,gene,7
variants,suicide,25
variants,genomic,6
variants,sample,4
variants,~20,1
variants,1/5000,2
variants,count,1
variants,bed,1
variants,exonic,1
intron,stop,1
intron,splice,1
1/71,suicide,1
rest,gene,1
stop,splice,1
gene,suicide,10
gene,genomic,1
gene,sample,3
gene,splice,1
gene,exonic,3
suicide,genomic,3
suicide,sample,4
suicide,splice,1
suicide,~20,1
suicide,1/5000,2
suicide,count,1
suicide,bed,1
suicide,exonic,3
genomic,sample,2
count,bed,1
bed,exonic,1
